artist_name,painting,title,year,medium
A. A. Almelkar,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/l/almelkaraa45.jpg,Untitled,,Graphite on gateway sheet laid on paper
A. A. Almelkar,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/l/almelkaraa85.jpg,Untitled,,"Watercolour, ink, graphite and charcoal on paper laid on paper"
Arpana Caur,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/c/a/caura21.jpg,Four Sea Images,1986.0,Oil on canvas
Arpana Caur,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/c/a/caura22.jpg,Earth and Sky (Diptych),1992.0,Oil on canvas
Arpana Caur,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/c/a/caura24.jpg,In Vrindaban,,Oil on canvas
A. H. Müller,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/m/u/mullerah_01c.jpg,Untitled,1915.0,Oil on canvas
A. H. Müller,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/m/u/mullerah026.jpg,Vasudev (Devotee),,Watercolour on paper pasted on mount board
A. H. Müller,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/m/u/mullerah06.jpg,Untitled,,Watercolour on paper
A. H. Müller,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/m/u/mullerah07.jpg,Untitled,,Watercolour on paper
A. H. Müller,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/m/u/mullerah09.jpg,Untitled,,Watercolour on paper pasted on board
A. H. Müller,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/m/u/mullerah01.jpg,Untitled,,Oil on canvas pasted on plywood
Arpita Singh,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/r/arpitasingh10.jpg,Untitled,,Ink on paper
Asit Kumar Haldar,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/h/a/haldara061.jpg,The Man,1940.0,Watercolour and ink on paper
Asit Kumar Haldar,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/h/a/haldara067.jpg,Untitled,1944.0,Gouache on cardboard
Asit Kumar Haldar,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/h/a/haldara088.jpg,Untitled,,Watercolour on paper
Asit Kumar Haldar,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/h/a/haldara090.jpg,Kokil,,Watercolour on paper
Asit Kumar Haldar,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/h/a/haldara106.jpg,Rabi,,Terracotta
Asit Kumar Haldar,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/h/a/haldara137ny.jpg,A Scene from the Omar Khayyam Series,,Watercolour and graphite highlighted with gold pigment on paper
Asit Kumar Haldar,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/h/a/haldara145.jpg,Untitled,,Gouache and graphite on paper
Amit Ambalal,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/m/ambalalamit008.jpg,Every Dog Has His Day,2004.0,Gouache on paper
Amit Ambalal,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/m/ambalalamit035.jpg,Untitled,1989.0,Acrylic on canvas board
Amit Ambalal,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/m/ambalalamit047.jpg,Buffalo is More Paying,1995.0,Acrylic and watercolour on paper
Amit Ambalal,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/m/ambalalamit057.jpg,Untitled,1979.0,Acrylic on canvas
Amit Ambalal,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/m/ambalalamit125.jpg,Untitled,2011.0,Oil on canvas
Amit Ambalal,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/m/ambalalamit131.jpg,Jalakrida,2002.0,Gouache on handmade paper
Amit Ambalal,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/m/ambalalamit138.jpg,Untitled,1999.0,Watercolour on handmade paper
Amit Ambalal,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/m/ambalalamit141.jpg,Untitled,1987.0,Oil and acrylic on canvas board
Abanindranath Tagore,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/t/a/tagorea09.jpg,Lucy,,Watercolour on paper
Abanindranath Tagore,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/t/a/tagorea61.jpg,Untitled,,Ink on paper
Abanindranath Tagore,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/t/a/tagorea62.jpg,Untitled,,Ink on paper
Abanindranath Tagore,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/t/a/tagorea63.jpg,Koikoi,,Watercolour and ink on cardboard laid on cardboard
Abanindranath Tagore,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/t/a/tagorea65.jpg,Shovanlal Gangooly,1926.0,Dry pastel on cardboard
A. A. Raiba,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/r/a/raibaaa093.jpg,Man with Cock,1964.0,Oil on canvas pasted on plywood
